분야,현원(2012),부족인원(2012),현원(2013),부족인원(2013),현원(2014),부족인원(2014),현원(2015),부족인원(2015),현원(2016),부족인원(2016),현원(2017),부족인원(2017),현원(2018),부족인원(2018),현원(2019),부족인원(2019),현원(2020),부족인원(2020),현원(2021),부족인원(2021)
기계,136637,4931,137851,4017,139088,4030,145847,4204,151368,4156,153261,4289,153681,4097,152599,4230,150122,4068,151337,4146
디스플레이,46692,528,48228,642,49514,361,49401,302,51210,273,50562,282,50100,256,50007,281,48795,237,48864,274
반도체,85899,1594,88527,1581,91113,1508,90492,1332,86525,1355,90501,1423,92873,1528,95429,1579,99285,1621,104004,1752
바이오·헬스,23435,700,24939,728,26226,693,26841,1065,28426,1023,30039,1079,31572,1061,32557,1076,34140,1131,35528,1234
섬유,31581,675,33810,815,36008,1008,36532,866,36453,849,36012,882,36197,927,35291,951,34000,937,33494,990
자동차,109315,2403,113516,2542,117317,2475,115621,2372,118720,2326,116331,2248,118524,2388,118199,2412,116498,2290,119818,2324
전자,180179,4664,179642,4284,181131,4179,187006,4422,191027,4383,201472,4641,203988,5362,204141,5465,202889,5387,205024,5375
조선,71802,869,69308,877,69766,830,67064,616,65121,583,63436,527,60301,651,59621,632,58622,545,58225,621
철강,62195,1874,66706,1380,70736,1390,69340,1232,68410,1170,66784,1119,65289,1250,64412,1262,63531,1117,64381,1145
화학,107354,4416,112609,4593,116107,4364,119587,4521,124934,4483,127291,4679,126006,4349,123546,4230,120533,4130,122307,4275
소프트웨어,117746,5462,121786,3649,124277,3429,128641,5477,130265,5410,135872,5772,139454,6205,142914,5883,146714,6188,148270,6160
IT 비즈니스,17780,274,19148,354,20222,287,20938,305,22108,280,22752,294,23120,405,23403,389,23793,399,24273,414
기타 제조업,180003,6293,194953,7295,205905,7382,212025,5719,217626,5592,218250,5373,212379,4592,209644,5088,197820,4591,198234,4669
임대업,2020,95,1781,78,2396,26,2841,19,2737,24,2681,31,2655,78,2714,86,2541,29,2102,80
사업서비스업,289264,4148,295439,4556,304278,4422,322221,4482,322122,4364,319101,4267,345306,4335,358460,4360,358391,3779,365561,4208
